,Object,x_perturb,y_perturb,successes,trials
250,ChocolateBars_800_tex.urdf,-0.02,-0.02,39.0,50.0
251,ChocolateBars_800_tex.urdf,-0.01,-0.02,40.0,50.0
252,ChocolateBars_800_tex.urdf,0.0,-0.02,37.0,50.0
253,ChocolateBars_800_tex.urdf,0.01,-0.02,36.0,50.0
254,ChocolateBars_800_tex.urdf,0.02,-0.02,37.0,50.0
255,ChocolateBars_800_tex.urdf,-0.02,-0.01,41.0,50.0
256,ChocolateBars_800_tex.urdf,-0.01,-0.01,42.0,50.0
257,ChocolateBars_800_tex.urdf,0.0,-0.01,34.0,50.0
258,ChocolateBars_800_tex.urdf,0.01,-0.01,36.0,50.0
259,ChocolateBars_800_tex.urdf,0.02,-0.01,40.0,50.0
260,ChocolateBars_800_tex.urdf,-0.02,0.0,36.0,50.0
261,ChocolateBars_800_tex.urdf,-0.01,0.0,34.0,50.0
262,ChocolateBars_800_tex.urdf,0.0,0.0,41.0,50.0
263,ChocolateBars_800_tex.urdf,0.01,0.0,40.0,50.0
264,ChocolateBars_800_tex.urdf,0.02,0.0,48.0,50.0
265,ChocolateBars_800_tex.urdf,-0.02,0.01,41.0,50.0
266,ChocolateBars_800_tex.urdf,-0.01,0.01,42.0,50.0
267,ChocolateBars_800_tex.urdf,0.0,0.01,39.0,50.0
268,ChocolateBars_800_tex.urdf,0.01,0.01,38.0,50.0
269,ChocolateBars_800_tex.urdf,0.02,0.01,40.0,50.0
270,ChocolateBars_800_tex.urdf,-0.02,0.02,33.0,50.0
271,ChocolateBars_800_tex.urdf,-0.01,0.02,32.0,50.0
272,ChocolateBars_800_tex.urdf,0.0,0.02,34.0,50.0
273,ChocolateBars_800_tex.urdf,0.01,0.02,40.0,50.0
274,ChocolateBars_800_tex.urdf,0.02,0.02,41.0,50.0
275,ChoppedTomatoes_800_tex.urdf,-0.02,-0.02,47.0,50.0
276,ChoppedTomatoes_800_tex.urdf,-0.01,-0.02,45.0,50.0
277,ChoppedTomatoes_800_tex.urdf,0.0,-0.02,43.0,50.0
278,ChoppedTomatoes_800_tex.urdf,0.01,-0.02,48.0,50.0
279,ChoppedTomatoes_800_tex.urdf,0.02,-0.02,42.0,50.0
280,ChoppedTomatoes_800_tex.urdf,-0.02,-0.01,49.0,50.0
281,ChoppedTomatoes_800_tex.urdf,-0.01,-0.01,47.0,50.0
282,ChoppedTomatoes_800_tex.urdf,0.0,-0.01,43.0,50.0
283,ChoppedTomatoes_800_tex.urdf,0.01,-0.01,44.0,50.0
284,ChoppedTomatoes_800_tex.urdf,0.02,-0.01,47.0,50.0
285,ChoppedTomatoes_800_tex.urdf,-0.02,0.0,47.0,50.0
286,ChoppedTomatoes_800_tex.urdf,-0.01,0.0,50.0,50.0
287,ChoppedTomatoes_800_tex.urdf,0.0,0.0,46.0,50.0
288,ChoppedTomatoes_800_tex.urdf,0.01,0.0,46.0,50.0
289,ChoppedTomatoes_800_tex.urdf,0.02,0.0,46.0,50.0
290,ChoppedTomatoes_800_tex.urdf,-0.02,0.01,46.0,50.0
291,ChoppedTomatoes_800_tex.urdf,-0.01,0.01,43.0,50.0
292,ChoppedTomatoes_800_tex.urdf,0.0,0.01,46.0,50.0
